City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
162,Ahipara,NZ,2020-01-17 00:43:04,-35.17,173.17,84.0,59,0,1.01,clear sky,0.0,0.0
163,Bambous Virieux,MU,2020-01-17 00:43:05,-20.34,57.76,79.0,88,75,9.17,broken clouds,0.0,0.0
164,Port Elizabeth,ZA,2020-01-17 00:43:05,-33.92,25.57,73.4,94,75,16.11,broken clouds,0.0,0.0
165,Thayetmyo,MM,2020-01-17 00:43:06,19.32,95.18,60.08,65,0,3.53,clear sky,0.0,0.0
166,Lake Charles,US,2020-01-17 00:43:07,30.21,-93.2,66.2,88,90,9.17,overcast clouds,0.0,0.0
167,Tuktoyaktuk,CA,2020-01-17 00:43:07,69.45,-133.04,-4.41,91,100,8.03,overcast clouds,0.0,0.0
168,Otradnoye,RU,2020-01-17 00:43:07,59.78,30.82,42.01,93,99,8.48,overcast clouds,0.06,0.0
169,Fatehabad,IN,2020-01-17 00:43:08,29.52,75.45,46.38,85,0,2.24,clear sky,0.0,0.0
170,Ribeira Grande,PT,2020-01-17 00:43:08,38.52,-28.7,53.02,65,93,8.59,overcast clouds,0.0,0.0
171,Asau,RO,2020-01-17 00:43:09,46.43,26.4,28.0,83,0,4.76,clear sky,0.0,0.0
172,Khatanga,RU,2020-01-17 00:42:19,71.97,102.5,-16.1,90,95,10.31,overcast clouds,0.0,0.0
173,Yar-Sale,RU,2020-01-17 00:43:10,66.83,70.83,2.84,89,100,21.72,light snow,0.0,0.13
174,Guskhara,IN,2020-01-17 00:43:10,23.5,87.75,64.0,66,12,4.07,few clouds,0.0,0.0
175,Kurumkan,RU,2020-01-17 00:43:10,54.3,110.3,-5.31,94,100,0.63,overcast clouds,0.0,0.0
176,Margate,GB,2020-01-17 00:43:11,51.38,1.39,52.0,73,84,5.01,light rain,0.25,0.0
177,Dongfeng,CN,2020-01-17 00:43:11,42.64,125.51,1.94,88,2,1.72,clear sky,0.0,0.0
178,Uarini,BR,2020-01-17 00:43:11,-2.99,-65.11,77.04,89,98,2.17,light rain,0.75,0.0
179,Kavieng,PG,2020-01-17 00:43:12,-2.57,150.8,84.79,74,58,25.97,broken clouds,0.0,0.0
180,Hambantota,LK,2020-01-17 00:43:12,6.12,81.12,76.77,87,4,10.22,light rain,0.13,0.0
181,Mujiayingzi,CN,2020-01-17 00:43:12,42.12,118.78,13.03,46,92,2.98,overcast clouds,0.0,0.0
182,Yellowknife,CA,2020-01-17 00:42:44,62.46,-114.35,-27.0,67,96,3.0,overcast clouds,0.0,0.0
183,Faizabad,IN,2020-01-17 00:43:13,26.78,82.13,57.81,95,100,7.45,light rain,1.44,0.0
184,Ilulissat,GL,2020-01-17 00:43:14,69.22,-51.1,6.8,55,20,17.22,few clouds,0.0,0.0
185,Matay,EG,2020-01-17 00:43:15,28.42,30.78,48.2,85,0,7.78,clear sky,0.0,0.0
186,Sistranda,NO,2020-01-17 00:43:15,63.73,8.83,37.02,74,83,7.63,broken clouds,0.0,0.0
187,Souillac,MU,2020-01-17 00:43:15,-20.52,57.52,79.0,88,75,9.17,broken clouds,0.0,0.0
188,Saint-Gaudens,FR,2020-01-17 00:43:16,43.08,0.67,48.0,86,8,3.0,clear sky,0.0,0.0
189,Magdagachi,RU,2020-01-17 00:43:16,53.45,125.8,-10.77,90,12,5.17,few clouds,0.0,0.0
190,Terrace Bay,CA,2020-01-17 00:43:17,48.78,-87.1,-8.09,94,85,6.46,overcast clouds,0.0,0.0
191,Westport,US,2020-01-17 00:43:17,41.14,-73.36,39.2,51,40,18.34,scattered clouds,0.0,0.0
192,Doka,SD,2020-01-17 00:43:18,13.52,35.77,69.62,31,0,6.64,clear sky,0.0,0.0
193,Mayo,US,2020-01-17 00:43:18,38.89,-76.51,43.0,48,40,20.8,scattered clouds,0.0,0.0
194,Satuk,TR,2020-01-17 00:43:19,41.23,32.38,25.11,71,0,1.99,clear sky,0.0,0.0
195,Gorlev,DK,2020-01-17 00:43:19,55.54,11.23,43.0,92,57,11.99,broken clouds,0.0,0.0
196,Ende,ID,2020-01-17 00:43:19,-8.84,121.66,83.23,72,89,3.38,overcast clouds,0.0,0.0
197,Dewa,IN,2020-01-17 00:43:20,27.03,81.17,57.18,97,98,5.21,moderate rain,5.81,0.0
198,Victoria,HK,2020-01-17 00:41:11,22.29,114.16,64.0,71,95,5.99,overcast clouds,0.0,0.0
199,Neuquen,AR,2020-01-17 00:41:40,-38.95,-68.06,73.89,9,0,9.31,clear sky,0.0,0.0
200,Igrim,RU,2020-01-17 00:43:21,63.19,64.42,17.31,75,100,16.26,light snow,0.0,1.0
201,Matagami,CA,2020-01-17 00:43:21,49.75,-77.63,-17.09,98,100,5.01,overcast clouds,0.0,0.0
202,Los Llanos De Aridane,ES,2020-01-17 00:43:21,28.66,-17.92,62.6,39,0,9.17,clear sky,0.0,0.0
203,Haines Junction,CA,2020-01-17 00:43:22,60.75,-137.51,-22.43,95,1,8.75,clear sky,0.0,0.0
204,Tura,IN,2020-01-17 00:43:22,25.52,90.22,60.31,78,0,2.37,clear sky,0.0,0.0
205,Papara,BR,2020-01-17 00:43:23,-3.98,-38.73,82.0,77,79,15.99,broken clouds,0.0,0.0
206,Tondon,GN,2020-01-17 00:43:23,10.37,-13.35,69.4,75,57,1.68,broken clouds,0.0,0.0
207,Sechura,PE,2020-01-17 00:43:23,-5.56,-80.82,71.38,85,30,14.23,scattered clouds,0.0,0.0
