City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
177,Ayan,RU,2020-01-13 03:50:38,56.45,138.17,-1.16,74,61,7.31,broken clouds,0.0,0.0
178,Qaanaaq,GL,2020-01-13 03:50:38,77.48,-69.36,-14.58,67,0,2.37,clear sky,0.0,0.0
179,Zhanaozen,KZ,2020-01-13 03:50:38,43.3,52.8,34.54,97,100,7.07,overcast clouds,0.0,0.0
180,Pitimbu,BR,2020-01-13 03:50:39,-7.47,-34.81,77.0,86,20,4.7,few clouds,0.0,0.0
181,Palora,EC,2020-01-13 03:50:39,-1.7,-77.93,63.3,97,15,2.26,light rain,0.75,0.0
182,Nanortalik,GL,2020-01-13 03:46:00,60.14,-45.24,18.57,53,0,29.75,clear sky,0.0,0.0
183,Caravelas,BR,2020-01-13 03:50:40,-17.71,-39.25,79.16,86,0,16.44,clear sky,0.0,0.0
184,Cururupu,BR,2020-01-13 03:50:40,-1.83,-44.87,73.0,97,53,0.85,broken clouds,0.0,0.0
185,Ourem,PT,2020-01-13 03:50:41,39.64,-8.59,44.01,93,82,4.7,mist,0.0,0.0
186,Longyearbyen,SJ,2020-01-13 03:50:41,78.22,15.64,-5.8,70,20,9.17,few clouds,0.0,0.0
187,Songjianghe,CN,2020-01-13 03:50:42,42.19,127.48,9.79,77,100,2.95,overcast clouds,0.0,0.0
188,Shiraz,IR,2020-01-13 03:48:27,29.6,52.54,26.6,86,49,0.78,scattered clouds,0.0,0.0
189,Bay Roberts,CA,2020-01-13 03:50:42,47.6,-53.26,27.0,92,90,13.87,light snow,0.0,0.0
190,San Policarpo,PH,2020-01-13 03:50:43,12.18,125.51,82.49,71,100,10.47,overcast clouds,0.0,0.0
191,Demba,CD,2020-01-13 03:50:43,-5.51,22.27,67.3,93,100,1.25,overcast clouds,0.0,0.0
192,Yumen,CN,2020-01-13 03:50:43,40.28,97.2,16.68,62,55,19.77,broken clouds,0.0,0.0
193,Port Macquarie,AU,2020-01-13 03:50:44,-31.43,152.92,84.0,53,40,13.87,scattered clouds,0.0,0.0
194,Bethel,US,2020-01-13 03:47:29,41.37,-73.41,45.0,80,5,6.93,clear sky,0.0,0.0
195,Doha,QA,2020-01-13 03:50:44,25.29,51.53,57.99,62,3,5.82,clear sky,0.0,0.0
196,Broken Hill,AU,2020-01-13 03:50:45,-31.95,141.43,89.6,13,0,4.7,clear sky,0.0,0.0
197,Kurilsk,RU,2020-01-13 03:50:45,45.23,147.88,26.51,68,17,2.04,few clouds,0.0,0.0
198,Hami,CN,2020-01-13 03:49:02,42.8,93.45,19.17,44,16,0.69,few clouds,0.0,0.0
